[2025-11-22 08:26:29] --- FDM v9.4 (Resonant Inertia) Starting ---
[2025-11-24 04:27:18] Model: (1, 1, 1) | Price: $87,591.04 | FC (T+10): -36.89 | AIC: 1521.0 | Risk: 1.0
[2025-11-24 04:57:18] Model: (1, 1, 1) | Price: $87,409.21 | FC (T+10): -12.95 | AIC: 1521.0 | Risk: 1.0
[2025-11-24 05:27:18] Model: (1, 1, 1) | Price: $86,533.08 | FC (T+10): -43.77 | AIC: 1524.8 | Risk: 1.0
[2025-11-24 05:57:19] Model: (1, 1, 1) | Price: $86,702.68 | FC (T+10): -89.75 | AIC: 1524.1 | Risk: 1.0
[2025-11-24 06:27:19] Model: (1, 1, 1) | Price: $87,810.03 | FC (T+10): -65.52 | AIC: 1527.4 | Risk: 1.0
[2025-11-24 06:57:20] Model: (1, 1, 1) | Price: $87,377.21 | FC (T+10): -85.02 | AIC: 1524.7 | Risk: 1.0
[2025-11-24 07:27:20] Model: (1, 1, 1) | Price: $87,017.66 | FC (T+10): +129.71 | AIC: 1523.5 | Risk: 1.0
[2025-11-24 07:57:21] Model: (1, 1, 1) | Price: $86,943.18 | FC (T+10): +167.33 | AIC: 1523.5 | Risk: 1.0
[2025-11-24 08:27:21] Model: (1, 1, 1) | Price: $86,831.36 | FC (T+10): -38.35 | AIC: 1524.6 | Risk: 1.0
[2025-11-24 08:57:22] Model: (1, 1, 1) | Price: $87,041.18 | FC (T+10): -28.04 | AIC: 1524.4 | Risk: 1.0
[2025-11-24 09:27:22] Model: (1, 1, 1) | Price: $86,919.99 | FC (T+10): -24.83 | AIC: 1523.9 | Risk: 1.0
[2025-11-24 09:57:23] Model: (1, 1, 1) | Price: $87,014.48 | FC (T+10): -23.54 | AIC: 1523.9 | Risk: 1.0
[2025-11-24 10:27:23] Model: (1, 1, 1) | Price: $85,901.40 | FC (T+10): +162.93 | AIC: 1526.0 | Risk: 1.0
[2025-11-24 10:57:24] Model: (1, 1, 1) | Price: $86,015.06 | FC (T+10): +147.90 | AIC: 1525.5 | Risk: 1.0
[2025-11-24 11:27:24] Model: (1, 1, 1) | Price: $85,831.23 | FC (T+10): -139.96 | AIC: 1526.3 | Risk: 1.0
[2025-11-24 11:57:25] Model: (1, 1, 1) | Price: $86,074.13 | FC (T+10): -108.07 | AIC: 1525.6 | Risk: 1.0
[2025-11-24 12:27:25] Model: (1, 1, 1) | Price: $86,060.34 | FC (T+10): -125.46 | AIC: 1525.8 | Risk: 1.0
[2025-11-24 12:57:26] Model: (1, 1, 1) | Price: $86,280.14 | FC (T+10): -110.70 | AIC: 1525.9 | Risk: 1.0
[2025-11-24 13:27:26] Model: (1, 1, 1) | Price: $86,072.14 | FC (T+10): -14.96 | AIC: 1525.8 | Risk: 1.0
